11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Blank,None,Prefer F2F,IDK/ same,Continue learning,Learning environment,Time management,Organization of class,Interaction & communication,Facilitation of group discussion and group works,Learning content/ resources,Self-organised learning,Multitask,Clarity of delivery,Zoom functions/ online tools,Assessment,Assignment,Learning activities,Overall convenience ,On instructor,Technical IT,Attendance record,Learning result and effectiveness,Others,Learning support,No zoom
ID,"Under the limitation of the currently adopted system, what are some good features of the online teaching of this course? ",Cat1,cat2,cat3,Cat4,all,allC,Key words (Cat),A,B,B1,C,C1,D,E,F,G,H,J,K,M,N,O,P,P2,P3,Q,R,S,T,U,V,W,Y
1,讨论比较多,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2,老师可以灵活安排教学时间，以及讨论时间，案例辅导时间。,f,h,,,f h  ,F H  ,"Organization of class, Facilitation of group discussion and group works",,,,,,,,Organization of class,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3,可以录音录像,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
4,the record of the online class can help me understand the knowledge better.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5,Nothing.,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
6,可以自由安排时间,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
7,We could rewatch the video for the confusing part.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
8,Professor Wang speaks at a moderate speed and his explanation is clear,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
9,I can watch the class recording several times until I understand the lecture notes.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10,can let us listen to the class clearly,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
11,we can watch the record after class if we have trouble in understanding,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
12,explain the maths in detail,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
13,Professor HUANG is very patient and his explanation is clear.,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
14,no advantages,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
15,we can watch the class recording videos after class.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
16,We can access to the video recording after class for self revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
17,There's a video that you can replay.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
18,"I can see the recorded video, to help me review.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
19,Face to face can promote the communication between classmates,b1,,,,b1   ,B1   ,Prefer F2F,,,Prefer F2F,,,,,,,,,,,,,,,,,,,,,,,
20,we can listen to the class clearly,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
21,courses can be recorded and watched after class,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
22,More convenient to look at teacher’s class notes.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
23,clear screen for lecture,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
24,None,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
25,"Appropriate content, Assessment adapts to current conditions",p,,,,p   ,P   ,Assessment,,,,,,,,,,,,,,,,Assessment,,,,,,,,,,
26,can watch the record many times,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
27,the recording video can help me to review the content,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
28,无,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
29,We can review recording when we are not clear of anything.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
30,N,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
31,Rewatch the video,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
32,can be recorded,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
33,可以重复看视频回放。,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
34,know lots of practical examples,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
35,good enough,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
