9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Blank,None,IDK,Prefer f2f,Can't improve,Learn environment,Class planning,Course,Learning activities,Assignment,Interaction,Discussion/ Group Work,Course material,Recording,Learning support,Clarity of delivery,Tools for learning,On instructor,Assessment,IT-related,Videoplay issue,Choice of platform,Others,it's good
ID,"Under the limitation of the currently adopted system, in what ways could the online teaching of this course be improved on? ",Cat1,cat2,cat3,Cat4,all,key1,key2,key 3,Key4,allC,Key words (Cat),Key words (Sub-cat),A,B,C,E,T,D,F,U,L,M,G,H,J,K,W,N,O,R,P,S,X,Y,V,Q
1,老师演示不好操作,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
3,"professor can try to use iPad or other tools to write key points, which can help we follow him.",n,,,,n   ,write and draw,,,,N   ,Clarity of delivery,write and draw,,,,,,,,,,,,,,,,write and draw,,,,,,,,
4,Nothing.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
5,Not enough communication and better be understood the content face-to-face teaching,g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
6,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
7,set more examples of application of the maths,j,,,,j   ,course materials - examples,,,,J   ,Course material,course materials - examples,,,,,,,,,,,,,course materials - examples,,,,,,,,,,,
8,set more examples to improve understanding,j,,,,j   ,course materials - examples,,,,J   ,Course material,course materials - examples,,,,,,,,,,,,,course materials - examples,,,,,,,,,,,
9,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
10,"Since this course is highly involved in maths, it's not very convenient to clarify confusion from time to time.",n,,,,n   ,Maths expression/ equations,,,,N   ,Clarity of delivery,Maths expression/ equations,,,,,,,,,,,,,,,,Maths expression/ equations,,,,,,,,
11,face-to-face is always the best,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
12,Class participation and concentration need to be improved。,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
13,We can’t have the opportunity to use the library.,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
14,A little tedious.And face to face communication can not be held,g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
15,set more examples of practical use in life,j,,,,j   ,course materials - examples,,,,J   ,Course material,course materials - examples,,,,,,,,,,,,,course materials - examples,,,,,,,,,,,
16,"some time internet was not stable, so, it lose some content",s,,,,s   ,internet/ wifi,,,,S   ,IT-related,internet/ wifi,,,,,,,,,,,,,,,,,,,,internet/ wifi,,,,
17,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
18,"Many parts need to be improved, for example, the university can increase the resources to support our study ,and increase the activities in the online teaching classes.",w,L,,,w L  ,e-resource,learning activities,,,W L  ,"Learning activities, Learning support","learning activities, e-resource",,,,,,,,,learning activities,,,,,,e-resource,,,,,,,,,
19,Improve students' participation and interaction in class,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
20,can not utilize the teaching equipment of school.,w,,,,w   ,campus facilities,,,,W   ,Learning support,campus facilities,,,,,,,,,,,,,,,campus facilities,,,,,,,,,
21,There can be more interactions.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
22,No interaction.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
23,互动性不强，课堂不够活跃。,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
24,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
25,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
26,能多一些和老师交流的机会,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
27,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
28,Need more jobs to attract students' attention,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
29,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
30,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
31,网速太慢，经常连接不上,s,,,,s   ,bandwidth,,,,S   ,IT-related,bandwidth,,,,,,,,,,,,,,,,,,,,bandwidth,,,,
32,There can be more interactions.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
33,All good.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
